,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
99,99,hawkeye,10,1,16,420
100,100,shining girls,11,5,8,71
101,101,peacemaker,10,1,0,149
102,102,fringe,3,0,11,140
103,103,fear the walking dead,3,8,11,48
104,104,despicable me,4,1,0,30
105,105,agents of s.h.i.e.l.d.,10,1,1,328
106,106,star wars: episode i - the phantom menace,10,1,12,0
107,107,motherland: fort salem,3,9,11,86
108,108,hellboy,10,1,12,0
109,109,stargåte sg-1,10,1,1,328
110,110,spider-man: homecoming,10,1,11,17
111,111,guardians of the galaxy vol. 2,10,1,0,149
112,112,the mist,8,4,7,10
113,113,black panther,10,1,11,17
114,114,spider-man,10,1,11,17
115,115,overlord,10,8,11,5
116,116,the avengers,10,1,11,17
117,117,station eleven,1,5,12,56
118,118,the hunger games,10,1,11,17
119,119,person of interest,10,14,1,32
120,120,minority report,10,14,8,106
121,121,blade runner,10,5,11,350
122,122,paper girls,3,9,13,4
123,123,baymax!,4,7,4,417
124,124,suicide squad,10,1,12,0
125,126,iron man,10,1,11,17
126,127,star trek: deep space nine,10,1,1,328
127,128,what if...?,4,13,17,38
128,129,the prestige,3,0,11,140
129,130,prey,10,5,13,2
130,131,from,3,8,8,20
131,132,guardians of the galaxy vol. 3,10,1,0,149
132,133,deadpool,10,1,0,149
133,134,star wars: episode ix - the rise of skywalker,10,1,12,0
134,135,star trek: voyager,10,1,11,17
135,136,gotham,10,14,1,32
136,137,venom: let there be carnage,10,1,11,17
137,138,aquaman,10,1,12,0
138,139,star wars: episode iii - revenge of the sith,10,1,12,0
139,140,the lost world: jurassic park,10,1,11,17
140,141,arrival,3,0,11,140
141,142,zack snyder's justice league,10,1,12,0
142,143,the midwich cuckoos,3,8,8,20
143,144,ghostbusters,10,2,12,7
144,145,alien: covenant,8,4,7,10
145,146,"roswell, new mexico",3,10,11,323
146,147,ex machina,3,4,7,335
147,148,the thing,8,0,11,35
148,149,spider-man: into the spider-verse,4,13,17,38
149,150,futurama,4,1,0,30
150,151,annihilation,1,5,13,126
151,152,doom patrol,10,1,0,149
152,153,watchmen,10,5,8,69
153,154,star wars: rebels,4,13,17,38
154,155,the tomorrow war,10,1,1,328
155,157,aliens,10,1,11,17
156,158,the deadly mantis,5,8,11,480
157,159,divergent,10,1,8,481
158,160,spider-man: far from home,10,1,11,17
159,161,captain america: the first avenger,10,1,11,17
160,162,gravity falls,4,13,17,38
161,163,resident alien,2,5,8,72
162,164,eternal sunshine of the spotless mind,3,10,11,323
163,165,upload,2,0,11,493
164,166,supergirl,10,1,1,328
165,167,farzar,4,13,17,38
166,168,deadpool 2,10,1,0,149
167,169,rogue one,10,1,11,17
168,170,firefly,1,5,11,135
169,171,jessica jones,10,14,1,32
170,172,raised by wolves,3,9,11,86
171,173,the amazing spider-man,10,1,11,17
172,174,dune: part two,10,1,1,328
173,175,avengers: age of ultron,10,1,11,17
174,176,the fifth element,10,1,11,17
175,177,transformers,10,1,11,17
176,178,prometheus,1,0,11,468
177,179,the world's end,10,2,11,469
178,180,the stand,1,5,12,56
179,181,star wars: episode vi - return of the jedi,10,1,12,0
180,182,a quiet place part ii,3,8,11,48
181,183,idiocracy,1,2,11,414
182,185,the twilight zone,3,9,13,4
183,186,ad astra,1,5,8,301
184,187,the empire strikes back,10,1,12,0
185,188,legends of tomorrow,10,1,1,328
186,189,the last of us,10,1,1,328
187,190,misfits,2,5,12,279
188,191,the falcon and the winter soldier,10,1,1,328
189,192,snowpiercer,10,5,11,350
190,193,sonic the hedgehog,10,1,0,149
191,194,godzilla vs. kong,10,4,7,422
192,195,star wars: episode vii - the force awakens,10,1,11,17
193,196,boku no hîrô akademia,4,13,17,38
194,197,captain america: civil war,10,1,11,17
195,198,logan,10,5,11,350
196,199,alf,2,6,11,416
197,200,fantastic four,10,1,11,17
198,201,star wars: episode ii - attack of the clones,10,1,12,0
199,202,the meg,10,8,11,5
200,203,the fountain,3,0,14,214
201,204,donnie darko,3,0,11,140
202,205,jigeum uri hakgyoneun,10,5,12,249
203,206,edge of tomorrow,10,1,11,17
204,207,armageddon,10,1,11,17
205,208,despicable me 3,4,1,0,30
206,209,adventure time,4,13,17,38
207,210,underwater,10,8,11,5
208,211,ready player one,10,1,11,17
209,212,starship troopers,10,1,11,17
210,213,about time,2,5,12,279
211,214,the man in the high castle,3,4,7,335
212,216,a quiet place,3,8,11,48
213,217,quantum leap,10,1,1,328
214,218,ant-man and the wasp: quantumania,10,1,0,149
215,219,her,3,10,11,323
216,220,the martian,1,5,11,135
217,221,dune,10,1,11,17
218,222,blindspot,10,14,1,32
219,223,big hero 6,4,13,17,38
220,224,lost in space,1,5,3,174
221,225,despicable me 2,4,1,0,30
222,226,predator,10,1,13,15
223,227,x-men,10,1,11,17
224,228,the oa,3,9,8,85
225,229,altered carbon,10,5,11,350
226,230,star wars: episode viii - the last jedi,10,1,12,0
227,231,the amazing spider-man 2,10,1,11,17
228,232,solo: a star wars story,10,1,11,17
229,233,justice league,10,1,12,0
230,237,the walking dead,3,8,7,66
231,238,what we do in the shadows,2,9,13,419
232,239,supernatural,3,9,13,4
233,241,bodies bodies bodies,2,8,7,351
234,242,last night in soho,3,8,8,20
235,245,orphan: first kill,11,5,13,19
236,249,shingeki no kyojin,4,13,17,38
237,251,yellowjackets,3,8,8,20
238,252,men,3,9,13,4
239,254,evil,11,5,13,19
240,255,day shift,10,2,12,7
241,256,malnazidos,10,1,12,0
242,257,the vampire diaries,3,9,13,4
243,258,watcher,3,8,7,66
244,259,orphan,8,0,7,40
245,260,midsommar,3,8,8,20
246,261,american psycho,11,5,13,19
247,262,legacies,1,5,12,56
248,263,old,3,8,8,20
249,264,american horror stories,3,8,8,20
250,265,the baby,2,8,8,369
251,266,scream,8,0,7,40
252,268,srpski film,8,0,7,40
253,269,get out,8,0,7,40
254,270,the secret of skinwalker ranch,8,0,10,355
255,271,midnight mass,3,9,13,4
256,273,first kill,3,8,8,20
257,277,fresh,2,8,7,351
